,age,player_height,player_weight,gp,pts,reb,ast,net_rating,oreb_pct,dreb_pct,usg_pct,ts_pct,ast_pct
4275,23,198.12,99.79024,36,5.8,1.9,0.9,-0.3,0.044,0.1,0.182,0.52,0.093
4276,21,208.28,120.20188,59,7.9,5.1,0.5,-4.1,0.112,0.232,0.22,0.53,0.055
4277,26,205.74,111.13004,76,18.6,6.9,3.1,-5.8,0.056,0.177,0.26,0.513,0.155
4278,31,195.58,104.32616,52,4.6,4.4,1.7,9.1,0.075,0.148,0.101,0.521,0.107
4279,31,208.28,122.46984,77,4.5,5.5,0.4,-0.3,0.086,0.165,0.102,0.524,0.028
4280,34,205.74,106.59412,48,4.6,3.8,0.4,-3.2,0.096,0.182,0.138,0.551,0.036
4281,23,185.42,86.18248,19,0.8,0.7,1.3,-3.9,0,0.154,0.113,0.405,0.308
4282,33,195.58,94.800728,14,0.5,1.4,0.8,-6.2,0.03,0.168,0.06,0.272,0.147
4283,23,200.66,90.7184,56,3.4,1.3,0.9,-4.5,0.028,0.128,0.209,0.45,0.179
4284,21,213.36,111.13004,82,9.4,7,2.3,0.8,0.094,0.196,0.159,0.555,0.133
4285,21,213.36,111.13004,55,4.8,2.7,0.7,-1.9,0.071,0.162,0.19,0.52,0.096
4286,18,213.36,124.7378,46,1.6,1.7,0.2,-4,0.11,0.154,0.152,0.394,0.044
4287,34,200.66,97.52228,4,2.5,2.5,2,5.2,0,0.175,0.139,0.336,0.174
4288,28,213.36,92.98636,23,2.2,1.6,0.3,-14,0.106,0.2,0.187,0.439,0.08
4289,26,198.12,103.418976,75,13.4,4.4,2.3,0.4,0.042,0.114,0.184,0.559,0.112
4290,33,185.42,83.91452,71,11.4,3.1,2.7,4.5,0.03,0.122,0.25,0.497,0.205
4291,35,203.2,99.79024,32,2.3,2.4,0.4,-0.8,0.11,0.148,0.106,0.61,0.065
4292,30,195.58,99.79024,17,2.2,0.8,0.5,-3,0.039,0.08,0.156,0.465,0.108
4293,25,198.12,95.25432,66,6.4,3.3,1.2,-2.9,0.052,0.146,0.169,0.498,0.096
4294,23,190.5,90.7184,54,5.1,1,1.7,4.7,0.037,0.072,0.251,0.539,0.273
4295,31,205.74,108.86208,82,7.3,11.3,1.9,11.2,0.123,0.256,0.113,0.501,0.081
4296,23,190.5,90.7184,80,16.9,2.7,3,1.6,0.02,0.079,0.262,0.531,0.17
4297,27,190.5,97.52228,54,17.9,4.4,8.9,0.9,0.025,0.11,0.261,0.489,0.412
4298,29,198.12,102.0582,25,1.7,0.9,0.2,8.5,0.072,0.167,0.2,0.456,0.059
4299,31,208.28,106.59412,50,8.2,5.3,1.2,3.8,0.068,0.197,0.156,0.618,0.089
4300,26,193.04,97.068688,19,2.3,0.5,0.3,-10.8,0.028,0.065,0.197,0.462,0.071
4301,31,205.74,111.13004,82,7.8,5.3,1.1,3.8,0.106,0.203,0.187,0.52,0.089
4302,37,205.74,111.13004,44,4.9,4.7,0.5,-11.5,0.114,0.158,0.135,0.479,0.035
4303,31,193.04,92.98636,80,9.6,2.2,3.6,1.9,0.01,0.081,0.156,0.55,0.196
